,Unnamed: 0.2,index,Unnamed: 0.1,Unnamed: 0,names,city_region,public1,address,full_address,Latitude,Longitude
0,0,2,2,2,ГККП «Строительно-технический колледж» акимата города Астана,Астана,True,"ул. Аль-Фараби, 53/350-16-06","Астана ул. Аль-Фараби, 53/350-16-06",51.158933835644,71.525587524066
1,1,3,3,3,ГККП «Колледж общественного питания и сервиса» акимата города Астана,Астана,True,"ул. Б.Майлин, 1250-16-47","Астана ул. Б.Майлин, 1250-16-47",51.1776,71.433
2,2,4,4,4,ГККП «Технологический колледж» акимата города Астана,Астана,True,"ул. С.Сейфуллина, 5954-42-14","Астана ул. С.Сейфуллина, 5954-42-14",51.169827152152,71.388127767313
3,3,5,5,5,ГККП «Технический колледж» акимата города Астана,Астана,True,"Улица 187,здание 19","Астана Улица 187,здание 19",51.174629132284,71.389438067762
4,4,6,6,6,КГУ «Профессионально-технический колледж» акимата города Астана,Астана,True,"Кургальджинское шоссе, 2257-05-46","Астана Кургальджинское шоссе, 2257-05-46",51.148670358216,71.386617065206
5,5,7,7,7,ГКП на ПХВ «Колледж сериса и туризма» акимата города Астана,Астана,True,"ул. Қарасай батыр, 1927-22-19","Астана ул. Қарасай батыр, 1927-22-19",51.197337997703,71.395148975493
6,6,8,8,8,ГКП на ПХВ «Высший колледж «ASTANA POLYTECHNIC» акимата города Астана,Астана,True,"ул. Бейбітшілік, 3950-14-81","Астана ул. Бейбітшілік, 3950-14-81",51.16960580494,71.420475000598
7,7,9,9,9,ГКП на ПХВ «Высший колледж транспорта и коммуникаций» акимата города Астана,Астана,True,"ул. Конституция, 1050-18-40","Астана ул. Конституция, 1050-18-40",51.194697180188,71.397447206987
8,8,10,10,10,ГКП на ПХВ «Высший медицинский колледж» акимата города Астана,Астана,True,"Ш.Құдайбердіұлы, 1633-15-67","Астана Ш.Құдайбердіұлы, 1633-15-67",51.153533237225,71.507193019346
9,9,12,12,12,Педагогический колледж ТОО «Междунородный университет «Астана»,Астана,False,"ул. І. Жансүгірұлы, 450-16-19","Астана ул. І. Жансүгірұлы, 450-16-19",51.1581969684,71.481998994418
10,10,13,13,13,Учреждение «Высший Торгово-экономический колледж Казпотребсоюза»,Астана,False,"ул. Кенесары, 60, 50-18-37","Астана ул. Кенесары, 60, 50-18-37",51.166718989223,71.449618773279
11,11,14,14,14,ТОО «Колледж Управления»,Астана,False,"пр. Жеңіс, 68  ул. Орлыколь,14/331-10-14","Астана пр. Жеңіс, 68  ул. Орлыколь,14/331-10-14",51.184520307549,71.433218741526
12,12,15,15,15,Колледж иностранных языков «Лингва»,Астана,False,"ул. Т.Рыскулбеков, 7/2, 25-67-11","Астана ул. Т.Рыскулбеков, 7/2, 25-67-11",51.154428017863,71.494737971339
13,13,16,16,16,ТОО «Медико-технический колледж»,Астана,False,"ул. І.Есенберлина 16/2, 38-23-57","Астана ул. І.Есенберлина 16/2, 38-23-57",51.190486536241,71.409313759299
